id,date,time,what_i_did,user_id
415,2025-05-26,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
416,2025-05-26,2:01-3:30,anything,The G.O.A.T
417,2025-05-26,3:30-6:00,Home work,The G.O.A.T
418,2025-05-26,6:01-7:30,Watch,The G.O.A.T
419,2025-05-26,7:31-8:30,Dinner,The G.O.A.T
420,2025-05-26,8:31-9:20,Try to sleep,The G.O.A.T
421,2025-05-27,7:30-7:59,Woke up brushed made bed,The G.O.A.T
422,2025-05-27,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
423,2025-05-27,8:31-9:00,Play,The G.O.A.T
424,2025-05-27,9:01-9:20,do UCMAS,The G.O.A.T
425,2025-05-27,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
426,2025-05-27,10:31-11:00,Do anything,The G.O.A.T
427,2025-05-27,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
428,2025-05-27,12:01-1:00,Eat,The G.O.A.T
429,2025-05-27,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
430,2025-05-27,2:01-3:30,anything,The G.O.A.T
431,2025-05-27,3:30-6:00,Home work,The G.O.A.T
432,2025-05-27,6:01-7:30,Watch,The G.O.A.T
433,2025-05-27,7:31-8:30,Dinner,The G.O.A.T
434,2025-05-27,8:31-9:20,Try to sleep,The G.O.A.T
435,2025-05-28,7:30-7:59,Woke up brushed made bed,The G.O.A.T
436,2025-05-28,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
437,2025-05-28,8:31-9:00,Play,The G.O.A.T
438,2025-05-28,9:01-9:20,do UCMAS,The G.O.A.T
439,2025-05-28,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
440,2025-05-28,10:31-11:00,Do anything,The G.O.A.T
441,2025-05-28,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
442,2025-05-28,12:01-1:00,Eat,The G.O.A.T
443,2025-05-28,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
444,2025-05-28,2:01-3:30,anything,The G.O.A.T
445,2025-05-28,3:30-6:00,Home work,The G.O.A.T
446,2025-05-28,6:01-7:30,Watch,The G.O.A.T
447,2025-05-28,7:31-8:30,Dinner,The G.O.A.T
448,2025-05-28,8:31-9:20,Try to sleep,The G.O.A.T
449,2025-05-29,7:30-7:59,Woke up brushed made bed,The G.O.A.T
450,2025-05-29,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
451,2025-05-29,8:31-9:00,Play,The G.O.A.T
452,2025-05-29,9:01-9:20,do UCMAS,The G.O.A.T
453,2025-05-29,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
454,2025-05-29,10:31-11:00,Do anything,The G.O.A.T
455,2025-05-29,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
456,2025-05-29,12:01-1:00,Eat,The G.O.A.T
457,2025-05-29,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
458,2025-05-29,2:01-3:30,anything,The G.O.A.T
459,2025-05-29,3:30-6:00,Home work,The G.O.A.T
460,2025-05-29,6:01-7:30,Watch,The G.O.A.T
461,2025-05-29,7:31-8:30,Dinner,The G.O.A.T
462,2025-05-29,8:31-9:20,Try to sleep,The G.O.A.T
463,2025-05-30,7:30-7:59,Woke up brushed made bed,The G.O.A.T
464,2025-05-30,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
465,2025-05-30,8:31-9:00,Play,The G.O.A.T
466,2025-05-30,9:01-9:20,do UCMAS,The G.O.A.T
467,2025-05-30,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
468,2025-05-30,10:31-11:00,Do anything,The G.O.A.T
469,2025-05-30,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
470,2025-05-30,12:01-1:00,Eat,The G.O.A.T
471,2025-05-30,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
472,2025-05-30,2:01-3:30,anything,The G.O.A.T
473,2025-05-30,3:30-6:00,Home work,The G.O.A.T
474,2025-05-30,6:01-7:30,Watch,The G.O.A.T
475,2025-05-30,7:31-8:30,Dinner,The G.O.A.T
476,2025-05-30,8:31-9:20,Try to sleep,The G.O.A.T
477,2025-05-31,7:30-7:59,Woke up brushed made bed,The G.O.A.T
478,2025-05-31,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
479,2025-05-31,8:31-9:00,Play,The G.O.A.T
480,2025-05-31,9:01-9:20,do UCMAS,The G.O.A.T
481,2025-05-31,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
482,2025-05-31,10:31-11:00,Do anything,The G.O.A.T
483,2025-05-31,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
484,2025-05-31,12:01-1:00,Eat,The G.O.A.T
485,2025-05-31,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
486,2025-05-31,2:01-3:30,anything,The G.O.A.T
487,2025-05-31,3:30-6:00,Home work,The G.O.A.T
488,2025-05-31,6:01-7:30,Watch,The G.O.A.T
489,2025-05-31,7:31-8:30,Dinner,The G.O.A.T
490,2025-05-31,8:31-9:20,Try to sleep,The G.O.A.T
491,2025-05-01,7:30-7:59,Woke up brushed made bed,sampleuser
492,2025-05-01,8:00-8:30,Go downstairs and eat breakfast,sampleuser
493,2025-05-01,8:31-9:00,Play,sampleuser
494,2025-05-01,9:01-9:20,do UCMAS,sampleuser
495,2025-05-01,9:21-10:30,Do anything like Watching drawing and More,sampleuser
496,2025-05-01,10:31-11:00,Do anything,sampleuser
497,2025-05-01,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
498,2025-05-01,12:01-1:00,Eat,sampleuser
499,2025-05-01,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
500,2025-05-01,2:01-3:30,anything,sampleuser
501,2025-05-01,3:30-6:00,Home work,sampleuser
502,2025-05-01,6:01-7:30,Watch,sampleuser
503,2025-05-01,7:31-8:30,Dinner,sampleuser
504,2025-05-01,8:31-9:20,Try to sleep,sampleuser
505,2025-05-02,7:30-7:59,Woke up brushed made bed,sampleuser
506,2025-05-02,8:00-8:30,Go downstairs and eat breakfast,sampleuser
507,2025-05-02,8:31-9:00,Play,sampleuser
508,2025-05-02,9:01-9:20,do UCMAS,sampleuser
509,2025-05-02,9:21-10:30,Do anything like Watching drawing and More,sampleuser
510,2025-05-02,10:31-11:00,Do anything,sampleuser
511,2025-05-02,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
512,2025-05-02,12:01-1:00,Eat,sampleuser
513,2025-05-02,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
514,2025-05-02,2:01-3:30,anything,sampleuser
515,2025-05-02,3:30-6:00,Home work,sampleuser
516,2025-05-02,6:01-7:30,Watch,sampleuser
517,2025-05-02,7:31-8:30,Dinner,sampleuser
518,2025-05-02,8:31-9:20,Try to sleep,sampleuser
519,2025-05-03,7:30-7:59,Woke up brushed made bed,sampleuser
520,2025-05-03,8:00-8:30,Go downstairs and eat breakfast,sampleuser
521,2025-05-03,8:31-9:00,Play,sampleuser
522,2025-05-03,9:01-9:20,do UCMAS,sampleuser
523,2025-05-03,9:21-10:30,Do anything like Watching drawing and More,sampleuser
524,2025-05-03,10:31-11:00,Do anything,sampleuser
525,2025-05-03,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
526,2025-05-03,12:01-1:00,Eat,sampleuser
527,2025-05-03,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
528,2025-05-03,2:01-3:30,anything,sampleuser
529,2025-05-03,3:30-6:00,Home work,sampleuser
530,2025-05-03,6:01-7:30,Watch,sampleuser
531,2025-05-03,7:31-8:30,Dinner,sampleuser
532,2025-05-03,8:31-9:20,Try to sleep,sampleuser
533,2025-05-04,7:30-7:59,Woke up brushed made bed,sampleuser
534,2025-05-04,8:00-8:30,Go downstairs and eat breakfast,sampleuser
535,2025-05-04,8:31-9:00,Play,sampleuser
536,2025-05-04,9:01-9:20,do UCMAS,sampleuser
537,2025-05-04,9:21-10:30,Do anything like Watching drawing and More,sampleuser
538,2025-05-04,10:31-11:00,Do anything,sampleuser
539,2025-05-04,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
540,2025-05-04,12:01-1:00,Eat,sampleuser
541,2025-05-04,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
542,2025-05-04,2:01-3:30,anything,sampleuser
543,2025-05-04,3:30-6:00,Home work,sampleuser
544,2025-05-04,6:01-7:30,Watch,sampleuser
545,2025-05-04,7:31-8:30,Dinner,sampleuser
546,2025-05-04,8:31-9:20,Try to sleep,sampleuser
547,2025-05-05,7:30-7:59,Woke up brushed made bed,sampleuser
548,2025-05-05,8:00-8:30,Go downstairs and eat breakfast,sampleuser
549,2025-05-05,8:31-9:00,Play,sampleuser
550,2025-05-05,9:01-9:20,do UCMAS,sampleuser
551,2025-05-05,9:21-10:30,Do anything like Watching drawing and More,sampleuser
552,2025-05-05,10:31-11:00,Do anything,sampleuser
553,2025-05-05,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
554,2025-05-05,12:01-1:00,Eat,sampleuser
555,2025-05-05,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
556,2025-05-05,2:01-3:30,anything,sampleuser
557,2025-05-05,3:30-6:00,Home work,sampleuser
558,2025-05-05,6:01-7:30,Watch,sampleuser
559,2025-05-05,7:31-8:30,Dinner,sampleuser
560,2025-05-05,8:31-9:20,Try to sleep,sampleuser
561,2025-05-06,7:30-7:59,Woke up brushed made bed,sampleuser
562,2025-05-06,8:00-8:30,Go downstairs and eat breakfast,sampleuser
563,2025-05-06,8:31-9:00,Play,sampleuser
564,2025-05-06,9:01-9:20,do UCMAS,sampleuser
565,2025-05-06,9:21-10:30,Do anything like Watching drawing and More,sampleuser
566,2025-05-06,10:31-11:00,Do anything,sampleuser
567,2025-05-06,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
568,2025-05-06,12:01-1:00,Eat,sampleuser
569,2025-05-06,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
570,2025-05-06,2:01-3:30,anything,sampleuser
571,2025-05-06,3:30-6:00,Home work,sampleuser
572,2025-05-06,6:01-7:30,Watch,sampleuser
573,2025-05-06,7:31-8:30,Dinner,sampleuser
574,2025-05-06,8:31-9:20,Try to sleep,sampleuser
575,2025-05-07,7:30-7:59,Woke up brushed made bed,sampleuser
576,2025-05-07,8:00-8:30,Go downstairs and eat breakfast,sampleuser
577,2025-05-07,8:31-9:00,Play,sampleuser
578,2025-05-07,9:01-9:20,do UCMAS,sampleuser
579,2025-05-07,9:21-10:30,Do anything like Watching drawing and More,sampleuser
580,2025-05-07,10:31-11:00,Do anything,sampleuser
581,2025-05-07,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
582,2025-05-07,12:01-1:00,Eat,sampleuser
583,2025-05-07,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
584,2025-05-07,2:01-3:30,anything,sampleuser
585,2025-05-07,3:30-6:00,Home work,sampleuser
586,2025-05-07,6:01-7:30,Watch,sampleuser
587,2025-05-07,7:31-8:30,Dinner,sampleuser
588,2025-05-07,8:31-9:20,Try to sleep,sampleuser
589,2025-05-08,7:30-7:59,Woke up brushed made bed,sampleuser
590,2025-05-08,8:00-8:30,Go downstairs and eat breakfast,sampleuser
591,2025-05-08,8:31-9:00,Play,sampleuser
592,2025-05-08,9:01-9:20,do UCMAS,sampleuser
593,2025-05-08,9:21-10:30,Do anything like Watching drawing and More,sampleuser
594,2025-05-08,10:31-11:00,Do anything,sampleuser
595,2025-05-08,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
596,2025-05-08,12:01-1:00,Eat,sampleuser
597,2025-05-08,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
598,2025-05-08,2:01-3:30,anything,sampleuser
599,2025-05-08,3:30-6:00,Home work,sampleuser
600,2025-05-08,6:01-7:30,Watch,sampleuser
601,2025-05-08,7:31-8:30,Dinner,sampleuser
602,2025-05-08,8:31-9:20,Try to sleep,sampleuser
603,2025-05-09,7:30-7:59,Woke up brushed made bed,sampleuser
604,2025-05-09,8:00-8:30,Go downstairs and eat breakfast,sampleuser
605,2025-05-09,8:31-9:00,Play,sampleuser
606,2025-05-09,9:01-9:20,do UCMAS,sampleuser
607,2025-05-09,9:21-10:30,Do anything like Watching drawing and More,sampleuser
608,2025-05-09,10:31-11:00,Do anything,sampleuser
609,2025-05-09,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
610,2025-05-09,12:01-1:00,Eat,sampleuser
611,2025-05-09,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
612,2025-05-09,2:01-3:30,anything,sampleuser
613,2025-05-09,3:30-6:00,Home work,sampleuser
614,2025-05-09,6:01-7:30,Watch,sampleuser
615,2025-05-09,7:31-8:30,Dinner,sampleuser
616,2025-05-09,8:31-9:20,Try to sleep,sampleuser
617,2025-05-10,7:30-7:59,Woke up brushed made bed,sampleuser
618,2025-05-10,8:00-8:30,Go downstairs and eat breakfast,sampleuser
619,2025-05-10,8:31-9:00,Play,sampleuser
620,2025-05-10,9:01-9:20,do UCMAS,sampleuser
621,2025-05-10,9:21-10:30,Do anything like Watching drawing and More,sampleuser
622,2025-05-10,10:31-11:00,Do anything,sampleuser
623,2025-05-10,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
624,2025-05-10,12:01-1:00,Eat,sampleuser
625,2025-05-10,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
626,2025-05-10,2:01-3:30,anything,sampleuser
627,2025-05-10,3:30-6:00,Home work,sampleuser
628,2025-05-10,6:01-7:30,Watch,sampleuser
629,2025-05-10,7:31-8:30,Dinner,sampleuser
630,2025-05-10,8:31-9:20,Try to sleep,sampleuser
631,2025-05-11,7:30-7:59,Woke up brushed made bed,sampleuser
632,2025-05-11,8:00-8:30,Go downstairs and eat breakfast,sampleuser
633,2025-05-11,8:31-9:00,Play,sampleuser
634,2025-05-11,9:01-9:20,do UCMAS,sampleuser
635,2025-05-11,9:21-10:30,Do anything like Watching drawing and More,sampleuser
636,2025-05-11,10:31-11:00,Do anything,sampleuser
637,2025-05-11,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
638,2025-05-11,12:01-1:00,Eat,sampleuser
639,2025-05-11,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
640,2025-05-11,2:01-3:30,anything,sampleuser
641,2025-05-11,3:30-6:00,Home work,sampleuser
642,2025-05-11,6:01-7:30,Watch,sampleuser
643,2025-05-11,7:31-8:30,Dinner,sampleuser
644,2025-05-11,8:31-9:20,Try to sleep,sampleuser
645,2025-05-12,7:30-7:59,Woke up brushed made bed,sampleuser
646,2025-05-12,8:00-8:30,Go downstairs and eat breakfast,sampleuser
647,2025-05-12,8:31-9:00,Play,sampleuser
648,2025-05-12,9:01-9:20,do UCMAS,sampleuser
649,2025-05-12,9:21-10:30,Do anything like Watching drawing and More,sampleuser
650,2025-05-12,10:31-11:00,Do anything,sampleuser
651,2025-05-12,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
652,2025-05-12,12:01-1:00,Eat,sampleuser
653,2025-05-12,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
654,2025-05-12,2:01-3:30,anything,sampleuser
655,2025-05-12,3:30-6:00,Home work,sampleuser
656,2025-05-12,6:01-7:30,Watch,sampleuser
657,2025-05-12,7:31-8:30,Dinner,sampleuser
658,2025-05-12,8:31-9:20,Try to sleep,sampleuser
659,2025-05-13,7:30-7:59,Woke up brushed made bed,sampleuser
660,2025-05-13,8:00-8:30,Go downstairs and eat breakfast,sampleuser
661,2025-05-13,8:31-9:00,Play,sampleuser
662,2025-05-13,9:01-9:20,do UCMAS,sampleuser
663,2025-05-13,9:21-10:30,Do anything like Watching drawing and More,sampleuser
664,2025-05-13,10:31-11:00,Do anything,sampleuser
665,2025-05-13,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
666,2025-05-13,12:01-1:00,Eat,sampleuser
667,2025-05-13,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
668,2025-05-13,2:01-3:30,anything,sampleuser
669,2025-05-13,3:30-6:00,Home work,sampleuser
670,2025-05-13,6:01-7:30,Watch,sampleuser
671,2025-05-13,7:31-8:30,Dinner,sampleuser
672,2025-05-13,8:31-9:20,Try to sleep,sampleuser
673,2025-05-14,7:30-7:59,Woke up brushed made bed,sampleuser
674,2025-05-14,8:00-8:30,Go downstairs and eat breakfast,sampleuser
675,2025-05-14,8:31-9:00,Play,sampleuser
676,2025-05-14,9:01-9:20,do UCMAS,sampleuser
677,2025-05-14,9:21-10:30,Do anything like Watching drawing and More,sampleuser
678,2025-05-14,10:31-11:00,Do anything,sampleuser
679,2025-05-14,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
680,2025-05-14,12:01-1:00,Eat,sampleuser
681,2025-05-14,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
682,2025-05-14,2:01-3:30,anything,sampleuser
683,2025-05-14,3:30-6:00,Home work,sampleuser
684,2025-05-14,6:01-7:30,Watch,sampleuser
685,2025-05-14,7:31-8:30,Dinner,sampleuser
686,2025-05-14,8:31-9:20,Try to sleep,sampleuser
687,2025-05-15,7:30-7:59,Woke up brushed made bed,sampleuser
688,2025-05-15,8:00-8:30,Go downstairs and eat breakfast,sampleuser
689,2025-05-15,8:31-9:00,Play,sampleuser
690,2025-05-15,9:01-9:20,do UCMAS,sampleuser
691,2025-05-15,9:21-10:30,Do anything like Watching drawing and More,sampleuser
692,2025-05-15,10:31-11:00,Do anything,sampleuser
693,2025-05-15,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
694,2025-05-15,12:01-1:00,Eat,sampleuser
695,2025-05-15,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
696,2025-05-15,2:01-3:30,anything,sampleuser
697,2025-05-15,3:30-6:00,Home work,sampleuser
698,2025-05-15,6:01-7:30,Watch,sampleuser
699,2025-05-15,7:31-8:30,Dinner,sampleuser
700,2025-05-15,8:31-9:20,Try to sleep,sampleuser
701,2025-05-16,7:30-7:59,Woke up brushed made bed,sampleuser
702,2025-05-16,8:00-8:30,Go downstairs and eat breakfast,sampleuser
703,2025-05-16,8:31-9:00,Play,sampleuser
704,2025-05-16,9:01-9:20,do UCMAS,sampleuser
705,2025-05-16,9:21-10:30,Do anything like Watching drawing and More,sampleuser
706,2025-05-16,10:31-11:00,Do anything,sampleuser
707,2025-05-16,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
708,2025-05-16,12:01-1:00,Eat,sampleuser
709,2025-05-16,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
710,2025-05-16,2:01-3:30,anything,sampleuser
711,2025-05-16,3:30-6:00,Home work,sampleuser
712,2025-05-16,6:01-7:30,Watch,sampleuser
713,2025-05-16,7:31-8:30,Dinner,sampleuser
714,2025-05-16,8:31-9:20,Try to sleep,sampleuser
715,2025-05-17,7:30-7:59,Woke up brushed made bed,sampleuser
716,2025-05-17,8:00-8:30,Go downstairs and eat breakfast,sampleuser
717,2025-05-17,8:31-9:00,Play,sampleuser
718,2025-05-17,9:01-9:20,do UCMAS,sampleuser
719,2025-05-17,9:21-10:30,Do anything like Watching drawing and More,sampleuser
720,2025-05-17,10:31-11:00,Do anything,sampleuser
721,2025-05-17,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
722,2025-05-17,12:01-1:00,Eat,sampleuser
723,2025-05-17,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
724,2025-05-17,2:01-3:30,anything,sampleuser
725,2025-05-17,3:30-6:00,Home work,sampleuser
726,2025-05-17,6:01-7:30,Watch,sampleuser
727,2025-05-17,7:31-8:30,Dinner,sampleuser
728,2025-05-17,8:31-9:20,Try to sleep,sampleuser
729,2025-05-18,7:30-7:59,Woke up brushed made bed,sampleuser
730,2025-05-18,8:00-8:30,Go downstairs and eat breakfast,sampleuser
731,2025-05-18,8:31-9:00,Play,sampleuser
732,2025-05-18,9:01-9:20,do UCMAS,sampleuser
733,2025-05-18,9:21-10:30,Do anything like Watching drawing and More,sampleuser
734,2025-05-18,10:31-11:00,Do anything,sampleuser
735,2025-05-18,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
736,2025-05-18,12:01-1:00,Eat,sampleuser
737,2025-05-18,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
738,2025-05-18,2:01-3:30,anything,sampleuser
739,2025-05-18,3:30-6:00,Home work,sampleuser
740,2025-05-18,6:01-7:30,Watch,sampleuser
741,2025-05-18,7:31-8:30,Dinner,sampleuser
742,2025-05-18,8:31-9:20,Try to sleep,sampleuser
743,2025-05-19,7:30-7:59,Woke up brushed made bed,sampleuser
744,2025-05-19,8:00-8:30,Go downstairs and eat breakfast,sampleuser
745,2025-05-19,8:31-9:00,Play,sampleuser
746,2025-05-19,9:01-9:20,do UCMAS,sampleuser
747,2025-05-19,9:21-10:30,Do anything like Watching drawing and More,sampleuser
748,2025-05-19,10:31-11:00,Do anything,sampleuser
749,2025-05-19,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
750,2025-05-19,12:01-1:00,Eat,sampleuser
751,2025-05-19,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
752,2025-05-19,2:01-3:30,anything,sampleuser
753,2025-05-19,3:30-6:00,Home work,sampleuser
754,2025-05-19,6:01-7:30,Watch,sampleuser
755,2025-05-19,7:31-8:30,Dinner,sampleuser
756,2025-05-19,8:31-9:20,Try to sleep,sampleuser
757,2025-05-20,7:30-7:59,Woke up brushed made bed,sampleuser
758,2025-05-20,8:00-8:30,Go downstairs and eat breakfast,sampleuser
759,2025-05-20,8:31-9:00,Play,sampleuser
760,2025-05-20,9:01-9:20,do UCMAS,sampleuser
761,2025-05-20,9:21-10:30,Do anything like Watching drawing and More,sampleuser
762,2025-05-20,10:31-11:00,Do anything,sampleuser
763,2025-05-20,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
764,2025-05-20,12:01-1:00,Eat,sampleuser
765,2025-05-20,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
766,2025-05-20,2:01-3:30,anything,sampleuser
767,2025-05-20,3:30-6:00,Home work,sampleuser
768,2025-05-20,6:01-7:30,Watch,sampleuser
769,2025-05-20,7:31-8:30,Dinner,sampleuser
770,2025-05-20,8:31-9:20,Try to sleep,sampleuser
771,2025-05-21,7:30-7:59,Woke up brushed made bed,sampleuser
772,2025-05-21,8:00-8:30,Go downstairs and eat breakfast,sampleuser
773,2025-05-21,8:31-9:00,Play,sampleuser
774,2025-05-21,9:01-9:20,do UCMAS,sampleuser
775,2025-05-21,9:21-10:30,Do anything like Watching drawing and More,sampleuser
776,2025-05-21,10:31-11:00,Do anything,sampleuser
777,2025-05-21,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
778,2025-05-21,12:01-1:00,Eat,sampleuser
779,2025-05-21,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
780,2025-05-21,2:01-3:30,anything,sampleuser
781,2025-05-21,3:30-6:00,Home work,sampleuser
782,2025-05-21,6:01-7:30,Watch,sampleuser
783,2025-05-21,7:31-8:30,Dinner,sampleuser
784,2025-05-21,8:31-9:20,Try to sleep,sampleuser
785,2025-05-22,7:30-7:59,Woke up brushed made bed,sampleuser
786,2025-05-22,8:00-8:30,Go downstairs and eat breakfast,sampleuser
787,2025-05-22,8:31-9:00,Play,sampleuser
788,2025-05-22,9:01-9:20,do UCMAS,sampleuser
789,2025-05-22,9:21-10:30,Do anything like Watching drawing and More,sampleuser
790,2025-05-22,10:31-11:00,Do anything,sampleuser
791,2025-05-22,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
792,2025-05-22,12:01-1:00,Eat,sampleuser
793,2025-05-22,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
794,2025-05-22,2:01-3:30,anything,sampleuser
795,2025-05-22,3:30-6:00,Home work,sampleuser
796,2025-05-22,6:01-7:30,Watch,sampleuser
797,2025-05-22,7:31-8:30,Dinner,sampleuser
798,2025-05-22,8:31-9:20,Try to sleep,sampleuser
799,2025-05-23,7:30-7:59,Woke up brushed made bed,sampleuser
800,2025-05-23,8:00-8:30,Go downstairs and eat breakfast,sampleuser
801,2025-05-23,8:31-9:00,Play,sampleuser
802,2025-05-23,9:01-9:20,do UCMAS,sampleuser
803,2025-05-23,9:21-10:30,Do anything like Watching drawing and More,sampleuser
804,2025-05-23,10:31-11:00,Do anything,sampleuser
805,2025-05-23,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
806,2025-05-23,12:01-1:00,Eat,sampleuser
807,2025-05-23,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
808,2025-05-23,2:01-3:30,anything,sampleuser
809,2025-05-23,3:30-6:00,Home work,sampleuser
810,2025-05-23,6:01-7:30,Watch,sampleuser
811,2025-05-23,7:31-8:30,Dinner,sampleuser
812,2025-05-23,8:31-9:20,Try to sleep,sampleuser
813,2025-05-24,7:30-7:59,Woke up brushed made bed,sampleuser
814,2025-05-24,8:00-8:30,Go downstairs and eat breakfast,sampleuser
815,2025-05-24,8:31-9:00,Play,sampleuser
816,2025-05-24,9:01-9:20,do UCMAS,sampleuser
817,2025-05-24,9:21-10:30,Do anything like Watching drawing and More,sampleuser
818,2025-05-24,10:31-11:00,Do anything,sampleuser
819,2025-05-24,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
820,2025-05-24,12:01-1:00,Eat,sampleuser
821,2025-05-24,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
822,2025-05-24,2:01-3:30,anything,sampleuser
823,2025-05-24,3:30-6:00,Home work,sampleuser
824,2025-05-24,6:01-7:30,Watch,sampleuser
825,2025-05-24,7:31-8:30,Dinner,sampleuser
826,2025-05-24,8:31-9:20,Try to sleep,sampleuser
827,2025-05-25,7:30-7:59,Woke up brushed made bed,sampleuser
828,2025-05-25,8:00-8:30,Go downstairs and eat breakfast,sampleuser
829,2025-05-25,8:31-9:00,Play,sampleuser
830,2025-05-25,9:01-9:20,do UCMAS,sampleuser
831,2025-05-25,9:21-10:30,Do anything like Watching drawing and More,sampleuser
832,2025-05-25,10:31-11:00,Do anything,sampleuser
833,2025-05-25,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
834,2025-05-25,12:01-1:00,Eat,sampleuser
835,2025-05-25,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
836,2025-05-25,2:01-3:30,anything,sampleuser
837,2025-05-25,3:30-6:00,Home work,sampleuser
838,2025-05-25,6:01-7:30,Watch,sampleuser
839,2025-05-25,7:31-8:30,Dinner,sampleuser
840,2025-05-25,8:31-9:20,Try to sleep,sampleuser
841,2025-05-26,7:30-7:59,Woke up brushed made bed,sampleuser
842,2025-05-26,8:00-8:30,Go downstairs and eat breakfast,sampleuser
843,2025-05-26,8:31-9:00,Play,sampleuser
844,2025-05-26,9:01-9:20,do UCMAS,sampleuser
845,2025-05-26,9:21-10:30,Do anything like Watching drawing and More,sampleuser
846,2025-05-26,10:31-11:00,Do anything,sampleuser
847,2025-05-26,11:01-12:00,Maybe told to do homework or play outside.,sampleuser
848,2025-05-26,12:01-1:00,Eat,sampleuser
849,2025-05-26,1:01-2:00,eat if didn't eat from 12:01-1:00,sampleuser
850,2025-05-26,2:01-3:30,anything,sampleuser
851,2025-05-26,3:30-6:00,Home work,sampleuser
852,2025-05-26,6:01-7:30,Watch,sampleuser
853,2025-05-26,7:31-8:30,Dinner,sampleuser
854,2025-05-26,8:31-9:20,Try to sleep,sampleuser
855,2025-05-27,7:30-7:59,Woke up brushed made bed,sampleuser
